entity,inquiry_ref,sector,cross_border,origin,regime,trigger_date,trigger_type,commencement_date,commencement_precision,decision_date,duration_days,duration_years,fine_eur,art65,slug,note
An Garda Siochana (CCTV/ANPR),01-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2019-08-23,424,1.16,0,0,inquiry-garda-siochana,SIU surveillance program; DPC AR2018 says SIU inquiries commenced June 2018; Limerick decision documents audits beginning 25 June 2018
Kerry County Council (CCTV),02-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2020-03-25,639,1.75,0,0,inquiry-kerry-county-council,SIU surveillance program June 2018
Tusla Child and Family Agency (1),IN-19-10-1,public,0,own-volition (breach),GDPR,2019-02-20,breach notified,2019-10-24,day,2020-04-07,166,0.45,75000,0,inquiry-tusla-child-and-family-agency,Commencement letter 24 Oct 2019 quoted in decision
Tusla Child and Family Agency (2),IN-19-12-8,public,0,own-volition (breach),GDPR,2019-11-04,breach notified,2019-12-11,day,2020-05-21,162,0.44,40000,0,inquiry-tusla-child-and-family-agency-may-2020,Commencement letter 11 Dec 2019 quoted in decision
Tusla Child and Family Agency (3),IN-18-11-4,public,0,own-volition (breach),GDPR,,,2018-12-06,day,2020-08-12,615,1.68,85000,0,inquiry-tusla-child-and-family-agency-august-2020,"71 breaches; decision quotes Tusla doc ""DPC Inquiry initiated in December 2018""; fines 50k+35k; notice of commencement letter dated 6 December 2018 (para 2.1)"
Health Service Executive (1),IN-19-9-1,public,0,own-volition (breach),GDPR,,,2019-10-17,day,2020-08-18,306,0.84,65000,0,inquiries-concerning-health-service-executive#1,Notice of Commencement 17 Oct 2019 per decision
Health Service Executive (2),IN-19-9-2,public,0,own-volition (breach),GDPR,2019-05-01,breach notified,2019-11-26,day,2020-09-29,308,0.84,0,0,inquiries-concerning-health-service-executive#2,Second HSE inquiry; commencement month approximated (notice date not in available text); no additional fine given IN-19-9-1; Notice of Commencement 26 November 2019 (para 3.3)
Waterford City & County Council (CCTV),06-SIU-2018,public,0,own-volition,LED,,,2018-06-25,month,2020-10-21,849,2.32,0,0,inquiry-waterford-city-and-county-council,SIU surveillance program June 2018
Ryanair DAC,,private,1,complaint,GDPR,,complaint via UK ICO,2019-03-19,day,2020-11-10,602,1.65,0,0,decision-concerning-ryanair-dac,"DPC commenced examination of complaint 19 Mar 2019 per decision; Art 60 decision, no fine"
Twitter International (breach notification),IN-19-1-1,big tech,1,own-volition (breach),GDPR,2019-01-08,breach notified,2019-01-22,day,2020-12-09,687,1.88,450000,1,inquiry-concerning-twitter-international-company-tic,First DPC big-tech fine; first EDPB Art 65 dispute resolution
Groupon International Limited,,private,1,complaint,GDPR,2018-06-04,complaint (Polish DPA),2018-07-05,day,2020-12-16,895,2.45,0,0,decision-concerning-groupon-international-limited,"DPC accepted LSA role 5 Jul 2018 per decision; Art 60, no fine"
University College Dublin,IN-19-7-4,public,0,own-volition (breach),GDPR,2018-08-08,first of 7 breaches notified,2019-07-19,day,2020-12-17,517,1.42,70000,0,inquiry-university-college-dublin,Notice of Commencement 19 July 2019 per decision; decision dated 17 December 2020 on the PDF cover and in the DPC decisions list (the individual web page's '17 June 2020' is a DPC typo)
Irish Credit Bureau DAC,IN-19-7-2,private,0,own-volition (breach),GDPR,2018-08-31,breach notified,2019-07-19,day,2021-03-23,613,1.68,90000,0,inquiry-irish-credit-bureau-dac,Notice of Commencement 19 Jul 2019 per decision
Dept of Employment Affairs & Social Protection (DPO),IN-18-12-1,public,0,own-volition,GDPR,,,2018-12-05,day,2021-05-10,887,2.43,0,0,inquiry-department-employment-affairs-and-social-protection,Notice of Commencement 5 Dec 2018 per decision
MOVE Ireland,IN-20-7-1,nonprofit,0,own-volition (breach),GDPR,2020-02-03,breach notified,2020-08-12,day,2021-08-20,373,1.02,1500,0,inquiry-move-men-overcoming-violence-ireland,Commencement letter 12 Aug 2020 per decision
WhatsApp Ireland (transparency),IN-18-12-2,big tech,1,own-volition,GDPR,,,2018-12-10,day,2021-08-20,984,2.69,225000000,1,decision-concerning-whatsapp-ireland-ltd,Commenced 10 Dec 2018 per DPC summary; EDPB Art 65 binding decision 28 Jul 2021 raised fine
The Teaching Council,IN-20-04-01,public,0,own-volition (breach),GDPR,2020-03-09,breach notified,2020-04-02,day,2021-12-02,609,1.67,60000,0,inquiry-teaching-council,Notice of Commencement 2 Apr 2020 per decision
Limerick City & County Council (CCTV),03-SIU-2018,public,0,own-volition,LED,,,2018-06-25,day,2021-12-09,1263,3.46,110000,0,inquiry-limerick-city-and-county-council,Decision records audit opening phase commencing 25 June 2018
