year,p_agi_by_eoy_metaculus_strong_q5121,p_agi_by_eoy_metaculus_weak_q3479
2026,0.1189,0.3318
2027,0.2128,0.5528
2028,0.3263,0.671
2029,0.4155,0.7438
2030,0.4869,0.7897
2031,0.5465,0.821
2032,0.5982,0.8438
2033,0.6406,0.8611
2034,0.6747,0.8747
2035,0.7042,0.8856
2036,0.7305,0.8945
2037,0.7538,0.9019
2038,0.7744,0.9081
2039,0.792,0.9135
2040,0.8068,0.9181
2041,0.8193,0.922
2042,0.8302,0.9256
2043,0.84,0.9287
2044,0.8491,0.9314
2045,0.8575,0.9339
2046,0.8656,0.9361
2047,0.8734,0.9382
2048,0.8806,0.94
2049,0.8871,0.9417
2050,0.8929,0.9433
2051,0.8982,0.9447
2052,0.903,0.9461
2053,0.9074,0.9473
2054,0.9114,0.9485
2055,0.9156,0.9496
2056,0.9199,0.9506
2057,0.9239,0.9516
2058,0.9274,0.9525
2059,0.9304,0.9533
2060,0.9331,0.9542
2061,0.9355,0.9549
2062,0.9377,0.9557
2063,0.9399,0.9564
2064,0.9419,0.9571
2065,0.9438,0.9577
2066,0.9457,0.9583
2067,0.9475,0.9589
2068,0.9493,0.9595
2069,0.9511,0.96
2070,0.9528,0.9605
2071,0.9545,0.9611
2072,0.9562,0.9615
2073,0.9578,0.962
2074,0.9594,0.9625
2075,0.961,0.9629
2076,0.9626,0.9634
2077,0.9641,0.9638
2078,0.9656,0.9642
2079,0.9671,0.9646
2080,0.9671,0.965
