slug,entity,inquiry_ref,commencement_date,draft_to_csas_date,draft_date_precision,final_decision_date,edpb_dispute,days_before_draft,days_after_draft,source_file,source
inquiry-linkedin-ireland-unlimited-company-october-2024,LinkedIn Ireland (legal basis for ads),IN-18-8-3,2018-08-20,2024-07-11,day,2024-10-22,0,2152,103,data/raw/pdftext/inquiry-linkedin-ireland-unlimited-company-october-2024__1.txt,Decision para 8: draft decision submitted to the concerned supervisory authorities on 11 July 2024
inquiry-meta-platforms-ireland-limited-september-2024,Meta/Facebook (plaintext passwords),IN-19-4-1,2019-04-24,2024-06-15,month,2024-09-26,0,1879,103,data/raw/pdftext/inquiry-meta-platforms-ireland-limited-september-2024__0.txt,Decision summary: draft submitted to the concerned supervisory authorities in June 2024 (mid-month assumed)
inquiry-tiktok-technology-limited,TikTok (transfers to China),IN-21-9-2,2021-09-14,2025-02-21,day,2025-04-30,0,1256,68,data/raw/pdftext/inquiry-tiktok-technology-limited__1.txt,Decision section ix: draft decision circulated to the CSAs on 21 February 2025
inquiry-concerning-12-facebook-personal-data-breaches,Meta/Facebook (12 breaches 2018),IN-18-11-5,2018-12-11,2021-08-18,day,2022-03-15,0,981,209,data/raw/pdftext/inquiry-concerning-12-facebook-personal-data-breaches__0.txt,Decision para 43: draft decision circulated to the CSAs on 18 August 2021
inquiry-concerning-meta-dataset-november-2022,Meta/Facebook (data scraping),IN-21-4-2,2021-04-14,2022-09-30,day,2022-11-25,0,534,56,data/raw/pdftext/inquiry-concerning-meta-dataset-november-2022__0.txt,Decision: draft decision circulated to the CSAs on 30 September 2022
inquiry-meta-platforms-ireland-limited-december-2022#1,Meta/Facebook (legal basis for ads),IN-18-5-5,2018-08-20,2021-10-06,day,2022-12-31,1,1143,451,data/raw/pdftext/inquiry-meta-platforms-ireland-limited-december-2022__0.txt,Decision: the Draft Decision (dated 6 October 2021); objections went to an EDPB binding decision
inquiry-meta-platforms-ireland-limited-december-2022#2,Meta/Instagram (legal basis for ads),IN-18-5-7,2018-08-20,2022-04-01,day,2022-12-31,1,1320,274,data/raw/pdftext/inquiry-meta-platforms-ireland-limited-december-2022__1.txt,Decision: the Draft Decision (dated 1 April 2022); objections went to an EDPB binding decision
inquiry-concerning-data-transfers-eueea-us-meta-platforms-ireland-limited-its-facebook-service,Meta/Facebook (EU-US transfers),IN-20-8-1,2020-08-28,2022-07-06,day,2023-05-12,1,677,310,data/raw/pdftext/inquiry-concerning-data-transfers-eueea-us-meta-platforms-ireland-limited-its-facebook-service__0.txt,Decision para 1.6: draft decision circulated to the CSAs on 6 July 2022; Article 65 referral 19 January 2023
inquiry-concerning-processing-personal-data-relating-child-users-instagram-social-networking-service,Meta/Instagram (child users),IN-20-7-4,2020-09-21,2021-12-03,day,2022-09-02,1,438,273,data/raw/pdftext/inquiry-concerning-processing-personal-data-relating-child-users-instagram-social-networking-service__0.txt,Decision: draft decision circulated to the CSAs on 3 December 2021
inquiry-tiktok-technology-limited-september-2023,TikTok (child users),IN-21-9-1,2021-09-14,2022-09-13,day,2023-09-01,1,364,353,data/raw/pdftext/inquiry-tiktok-technology-limited-september-2023__0.txt,Decision: draft decision circulated to the CSAs on 13 September 2022
decision-concerning-whatsapp-ireland-ltd,WhatsApp Ireland (transparency),IN-18-12-2,2018-12-10,2020-12-15,month,2021-08-20,1,736,248,data/raw/decisions/decision-concerning-whatsapp-ireland-ltd.html,DPC register page: draft decision submitted to all CSAs under Article 60 in December 2020 (mid-month assumed)
