id,where_in_post,post_text,value_in_post,exact_value,computed_from
concluded_decisions,summary; opening paragraph,69 investigations concluded since 2018 / the 69 investigations with published or announced final decisions ... from August 2019 through September 2026,69; August 2019 to September 2026,69 decisions dated 2019-08-23 to 2026-09-21,rows of data/dpc_inquiries.csv (scripts/build_dataset.py); output/stats.json n_concluded_total
fines_imposed,summary,€4.44 billion in fines imposed,€4.44 billion,"EUR 4,442,477,000",sum of fine_eur in data/dpc_inquiries.csv; output/stats.json total_fines_eur
km_median,summary; body; table; probability paragraph; note,"at least 6.2 years (median cross-border case, 2018-2020 cohort)",6.2 years (a floor),6.193 years,"Kaplan-Meier median over the 30 cross-border cases begun by the end of 2020 (16 decided, 14 censored); scripts/analyze.py kaplan_meier(); output/stats.json km_median_years"
km_open_at_strong_median,summary,66% of the 2018-2020 cross-border cases were still open at 4.5 years,66% at 4.5 years,0.6609 at 4.471 years,Kaplan-Meier survival at the Metaculus strong-AGI median; output/stats.json km_share_unresolved_at_strong_agi_median
strong_agi_median,summary; forecasts paragraph,"Metaculus’s median forecast for strong AGI is 4.5 years out / its 1,843 forecasters put the median arrival at March 2031 (4.5 years out)","4.5 years; March 2031; 1,843 forecasters",4.471 years (March 2031); 1843 forecasters,"Metaculus question 5121 community forecast captured 25 Sep 2026 (data/raw/metaculus_questions.json); output/stats.json strong_median_years, metaculus_strong_n"
strong_agi_q25,forecasts paragraph,gave it a 25% chance by April 2028,April 2028,1.585 years (April 2028),"Metaculus question 5121, 25th percentile; output/stats.json strong_q25_years"
fined_cases_vs_q25,Figure 1 introduction,Every decided case in the figure took longer than the 1.6 years remaining until the forecasters’ 25% date for strong AGI,1.6 years; every decided case longer,25% date 1.585 years; shortest fined cross-border case 1.615 years,"min duration of the EUR 1m+ cross-border decisions in data/dpc_inquiries.csv vs the Metaculus 25th percentile; output/stats.json fined1m_min_duration, strong_q25_years"
weak_agi_median,forecasts paragraph,weaker AGI with a median in September 2027 (a year away),September 2027; a year away,0.964 years (September 2027); 1732 forecasters,Metaculus question 3479 community forecast captured 25 Sep 2026; output/stats.json weak_median_years
gdpr_median,first body paragraph,"Of 61 concluded GDPR cases, the median investigation took 1.9 years",61; 1.9 years,61 cases; median 1.900 years,"GDPR rows of data/dpc_inquiries.csv; output/stats.json n_gdpr, median_gdpr_years"
domestic_share,first body paragraph,more than half of those cases are against Irish public bodies and domestic firms,more than half,"34 of 61 (55.7%): 17 public bodies, 15 firms, 2 nonprofits","sector column of data/dpc_inquiries.csv (every non-big-tech controller in the data is an Irish public body, firm or nonprofit)"
